k = 7245, p# = 1711.000000, sp# = 14489.000000, ratio = 0.118090
k = 7265, p# = 1713.000000, sp# = 14529.000000, ratio = 0.117902
k = 7285, p# = 1715.000000, sp# = 14569.000000, ratio = 0.117716
k = 7305, p# = 1720.000000, sp# = 14609.000000, ratio = 0.117736
k = 7325, p# = 1723.000000, sp# = 14649.000000, ratio = 0.117619
k = 7345, p# = 1727.000000, sp# = 14689.000000, ratio = 0.117571
k = 7365, p# = 1731.000000, sp# = 14729.000000, ratio = 0.117523
k = 7385, p# = 1733.000000, sp# = 14769.000000, ratio = 0.117340
k = 7405, p# = 1737.000000, sp# = 14809.000000, ratio = 0.117294
k = 7425, p# = 1740.000000, sp# = 14849.000000, ratio = 0.117180
k = 7445, p# = 1744.000000, sp# = 14889.000000, ratio = 0.117133
k = 7465, p# = 1748.000000, sp# = 14929.000000, ratio = 0.117088
k = 7485, p# = 1753.000000, sp# = 14969.000000, ratio = 0.117109
k = 7505, p# = 1757.000000, sp# = 15009.000000, ratio = 0.117063
k = 7525, p# = 1764.000000, sp# = 15049.000000, ratio = 0.117217
k = 7545, p# = 1767.000000, sp# = 15089.000000, ratio = 0.117105
k = 7565, p# = 1770.000000, sp# = 15129.000000, ratio = 0.116994
k = 7585, p# = 1772.000000, sp# = 15169.000000, ratio = 0.116817
k = 7605, p# = 1774.000000, sp# = 15209.000000, ratio = 0.116641
k = 7625, p# = 1777.000000, sp# = 15249.000000, ratio = 0.116532
k = 7645, p# = 1777.000000, sp# = 15289.000000, ratio = 0.116227
k = 7665, p# = 1780.000000, sp# = 15329.000000, ratio = 0.116120
k = 7685, p# = 1783.000000, sp# = 15369.000000, ratio = 0.116013
